ZONE,Type,VillaNo,,WorkType1,Percentage1,Status1,Contractor1,,WorkType2,Percentage2,Status2,Contractor2,,WorkType3,Percentage3,Status3,Contractor3,,WorkType4,Percentage4,Status4,Contractor4,,WorkType5,Percentage5,Status5,Contractor5,,WorkType6,Percentage6,Status6,Contractor6,,WorkType7,Percentage7,Status7,Contractor7,,WorkType8,Percentage8,Status8,Contractor8
Z8,V7,55,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة بداية,,لياسة  دورارضي,95%,Retained,مؤسسة بداية,,طرطشة  دوراول,,,,,لياسة  دوراول,90%,Retained,مؤسسه الحزم,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,60%,Open,مؤسسه الاستيراد,,طرطشة خارجية للواجهات,,,,,لياسة خارجية للواجهات,,,
Z8,V7,56,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة بداية,,لياسة  دورارضي,95%,Retained,مؤسسة بداية,,طرطشة  دوراول,100%,Closed,مؤسسه الحزم,,لياسة  دوراول,90%,Retained,مؤسسه الحزم,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد,,لياسة خارجية للواجهات,,,
Z8,V7,57,,طرطشة  دور أ رضي ,,,,,لياسة  دورارضي,,,,,طرطشة  دوراول,,,,,لياسة  دوراول,90%,Retained,مؤسسه الحزم,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد,,لياسة خارجية للواجهات,,,
Z8,V7,58,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة بداية,,لياسة  دورارضي,95%,Retained,مؤسسة بداية,,طرطشة  دوراول,100%,Closed,مؤسسه الحزم,,لياسة  دوراول,90%,Retained,مؤسسه الحزم,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد,,لياسة خارجية للواجهات,,,
Z8,V7,59,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة بداية,,لياسة  دورارضي,95%,Retained,مؤسسة بداية,,طرطشة  دوراول,100%,Closed,مؤسسه الحزم,,لياسة  دوراول,90%,Retained,مؤسسه الحزم,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,60%,Open,مؤسسه الاستيراد,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد,,لياسة خارجية للواجهات,,,
Z8,V7,60,,طرطشة  دور أ رضي ,,,,,لياسة  دورارضي,,,,,طرطشة  دوراول,100%,Closed,مؤسسه  الحزم,,لياسة  دوراول,90%,Retained,مؤسسه  الحزم,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد,,لياسة خارجية للواجهات,80%,Open,مؤسسه الاستيراد
Z8,V7,61,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة عبدالطيف,,لياسة  دورارضي,90%,Retained,مؤسسة عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,90%,Retained,مؤسسة عبدالطيف,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,60%,Open,مؤسسه الاستيراد,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد,,لياسة خارجية للواجهات,60%,Open,مؤسسه الاستيراد
Z8,V7,62,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة عبدالطيف,,لياسة  دورارضي,90%,Retained,مؤسسة عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,90%,Retained,مؤسسة عبدالطيف,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد,,لياسة خارجية للواجهات,60%,Open,مؤسسه الاستيراد
Z8,V7,63,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة عبدالطيف,,لياسة  دورارضي,90%,Retained,مؤسسة عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,90%,Retained,مؤسسة عبدالطيف,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد,,لياسة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد
Z8,V7,64,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة عبدالطيف,,لياسة  دورارضي,90%,Retained,مؤسسة عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,90%,Retained,مؤسسة عبدالطيف,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد,,لياسة خارجية للواجهات,60%,Open,مؤسسه الاستيراد
